"Status","TargetFile","SourceFile","SourcePath","TargetPath"
"Copied","classic_158.mp3","44 The Well-Tempered Clavier I, Prelude & Fugue No. 1 in C Major, BWV 846_ I. Prelude.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\44 The Well-Tempered Clavier I, Prelude & Fugue No. 1 in C Major, BWV 846_ I. Prelude.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_158.mp3"
"Copied","classic_159.mp3","32 Orchestral Suite No. 3 in D Major, BWV 1068_ II. Air _on the G String_.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\32 Orchestral Suite No. 3 in D Major, BWV 1068_ II. Air _on the G String_.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_159.mp3"
"Copied","classic_160.mp3","03 Toccata and Fugue in D minor.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\03 Toccata and Fugue in D minor.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_160.mp3"
"Copied","classic_161.mp3","04 Wachet auf, ruft uns die Stimme, BWV 140_ IV. Chorale. Zion hört die Wächter singen.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\04 Wachet auf, ruft uns die Stimme, BWV 140_ IV. Chorale. Zion hört die Wächter singen.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_161.mp3"
"Copied","classic_162.mp3","01 The Four Seasons - Violin Concerto in E Major, Op. 8 No. 1, RV 269 _Spring__ I. Allegro.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 The Four Seasons - Violin Concerto in E Major, Op. 8 No. 1, RV 269 _Spring__ I. Allegro.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_162.mp3"
"Copied","classic_163.mp3","01 Handel_ Music for the Royal Fireworks, HWV 351_ I. Overture (Adagio).mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 Handel_ Music for the Royal Fireworks, HWV 351_ I. Overture (Adagio).mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_163.mp3"
"Copied","classic_164.mp3","14 Suite d'Abdelazer_ or, the moor's revenge_ Rondeau.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\14 Suite d'Abdelazer_ or, the moor's revenge_ Rondeau.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_164.mp3"
"Copied","classic_165.mp3","02 Trumpet Tune in C Major, ZT 697 (Arr. for Brass Ensemble and Organ).mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\02 Trumpet Tune in C Major, ZT 697 (Arr. for Brass Ensemble and Organ).mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_165.mp3"
"Copied","classic_166.mp3","14 Ave Maria.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\14 Ave Maria.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_166.mp3"
"Copied","classic_167.mp3","10 Elgar_ Variations on an Original Theme, Op. 36 _Enigma__ Variation IX. Nimrod.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\10 Elgar_ Variations on an Original Theme, Op. 36 _Enigma__ Variation IX. Nimrod.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_167.mp3"
"Copied","classic_168.mp3","13 Jerusalem.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\13 Jerusalem.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_168.mp3"
"Copied","classic_169.mp3","09 Tchaikovsky_ The Nutcracker, Op. 71, Act 2_ No. 13, Waltz of the Flowers.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\09 Tchaikovsky_ The Nutcracker, Op. 71, Act 2_ No. 13, Waltz of the Flowers.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_169.mp3"
"Copied","classic_170.mp3","01 Suite bergamasque, L. 75_ III. Clair de lune.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 Suite bergamasque, L. 75_ III. Clair de lune.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_170.mp3"
"Copied","classic_171.mp3","01 Symphony No. 2 in B-Flat Major, Op. 52 _Hymn of Praise__ Ia. Sinfonia_ Maestoso con moto.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\01 Symphony No. 2 in B-Flat Major, Op. 52 _Hymn of Praise__ Ia. Sinfonia_ Maestoso con moto.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_171.mp3"
"Copied","classic_172.mp3","12 The Armed Man - A Mass For Peace_ XII. Benedictus.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\12 The Armed Man - A Mass For Peace_ XII. Benedictus.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_172.mp3"
"Copied","classic_173.mp3","13 Ave verum corpus, K. 618.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\13 Ave verum corpus, K. 618.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_173.mp3"
"Copied","classic_174.mp3","14 3 Geistliche Gesänge, Op. 69_ II. Hymne.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\14 3 Geistliche Gesänge, Op. 69_ II. Hymne.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_174.mp3"
"Copied","classic_175.mp3","12 Look at the World.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\12 Look at the World.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_175.mp3"
"Copied","classic_176.mp3","08 Schubert_ Die Forelle, Op. 32, D. 550.mp3","C:\Users\lac\OneDrive - IMS Messsysteme GmbH\Dokumente\NoteCable Spotify Music Converter\Joschijas Hitster Gang\08 Schubert_ Die Forelle, Op. 32, D. 550.mp3","C:\Code\JKH\ClassicHitster.App\Resources\Raw\classic_176.mp3"
