"TargetFile","Composer","Title"
"classic_015.mp3","George Frideric Handel","Der Messias, HWV 56, Pt. 2: No. 39, Halleluja!"
"classic_029.mp3","Felix Mendelssohn Bartholdy","Abschied vom Walde, Op. 59/3"
"classic_034.mp3","Gustav Mahler","Symphony No. 8 in E-Flat Major ""Symphony of a Thousand"", Zweiter Teil: XV. Alles Vergängliche ist nur ein Gleichnis"
"classic_066.mp3","Gioachino Rossini","Il barbiere di Siviglia: Largo al factotum"
"classic_070.mp3","Franz Schubert","German Mass, D.872: Sanctus: Heilig, heilig heilig"
"classic_100.mp3","Hector Berlioz","Berlioz: Les Troyens, Op. 29, H 133, Act 1: ""Ha ! Ha ! Après dix ans passés dans nos murailles"" (Un soldat, Chœur)"
"classic_123.mp3","Anton Bruckner","Te Deum in C Major, WAB 45: I. Te Deum"
"classic_181.mp3","Robert Schumann","Wilder Reiter op. 68/8"
